FACILITY,TELESCOPE,INSTRUMENT,LOCALE
Multiple Observatories, Multiple Telescopes, TOU, Ground
NASA Infrared Telescope Facility (IRTF), 3.2 m telescope, SpeX, Ground
Next-Generation Transit Survey (NGTS), NGTS telescopes, NGTS cameras, Ground
OGLE, 1.3 m Warsaw University Telescope, OGLE CCD Array, Ground
Oak Ridge Observatory, 1.55 m Wyeth Telescope, CfA Digital Speedometer, Ground
Okayama Astrophysical Observatory, 1.88 m Telescope, HIDES Echelle Spectrograph, Ground
Palomar Observatory, 5.1 m Hale Telescope, PHARO Camera, Ground
Paranal Observatory, 20 cm Telescope, Andor Ikon-L Camera, Ground
Paranal Observatory, 4 m ESO Vista Telescope, VIRCAM CCD Array, Ground
Paranal Observatory, 8.2 m ESO VLT UT1 Antu Telescope, FORS2 Spectrograph, Ground
Paranal Observatory, 8.2 m ESO VLT UT3 Melipal Telescope, ESPRESSO, Ground
Paranal Observatory, 8.2 m ESO VLT UT3 Melipal Telescope, Multiple Instruments, Ground
Paranal Observatory, 8.2 m ESO VLT UT3 Melipal Telescope, SPHERE, Ground
Paranal Observatory, 8.2 m ESO VLT UT4 Yepun Telescope, NACO Camera, Ground
Paranal Observatory, Very Large Telescope (Antu), FORS2, Ground
Parkes Observatory, 64 m Parkes Radio Telescope, Parkes Radio Receiver, Ground
Qatar, Canon 400mm f/2.8L, FLI ProLine 4K CCD Sensor, Ground
Roque de los Muchachos Observatory, 3.58 m Telescopio Nazionale Galileo, HARPS-N Spectrograph, Ground
Roque de los Muchachos Observatory, 3.58 m Telescopio Nazionale Galileo, SARG Spectrograph, Ground
SPECULOOS Southern Observatory, Multiple Telescopes, Multiple Instruments, Ground
Sobaeksan Optical Astronomy Observatory (SOAO), 61 cm Telescope, CCD Camera, Ground
Spitzer Space Telescope, 0.85 m Spitzer Space Telescope, IRAC Infrared Array Camera, Space
Subaru Telescope, 8.2 m Subaru Telescope, CIAO Camera, Ground
Subaru Telescope, 8.2 m Subaru Telescope, HDS Spectrograph, Ground
Subaru Telescope, 8.2 m Subaru Telescope, HiCIAO Camera, Ground
Subaru Telescope, 8.2 m Subaru Telescope, Infrared Camera and Spectrograph (IRCS), Ground
Subaru Telescope, 8.2 m Subaru Telescope, Infrared Doppler (IRD), Ground
Subaru Telescope, 8.2 m Subaru Telescope, Subaru Coronagraphic Extreme Adaptive Optics (SCExAO), Ground
SuperWASP, Canon 200mm f/1.8L, e2v CCD Camera, Ground
SuperWASP, Canon 200mm f/1.8L, iKon-L CCD Camera, Ground
SuperWASP-North, Canon 200mm f/1.8L, Andor e2v CCD Camera, Ground
SuperWASP-South, Canon 200mm f/1.8L, iKon-L CCD Camera, Ground
Teide Observatory, 4.20 m William Herschel Telescope, ACAM Auxiliary Port Camera, Ground
Thueringer Landessternwarte Tautenburg, 2.0 m Alfred Jensch Telescope, Coude Echelle Spectrograph, Ground
TrES, 0.10 m Schmidt Telescope, 2K CCD Sensor, Ground
Transiting Exoplanet Survey Satellite (TESS), 0.1 m TESS Telescope, TESS CCD Array, Ground
Transiting Exoplanet Survey Satellite (TESS), 0.1 m TESS Telescope, TESS CCD Array, Space
United Kingdom Infrared Telescope, 3.8 m United Kingdom Infrared Telescope, WFCam Wide Field Camera, Ground
University of Canterbury Mt John Observatory, 1.0 m McLellan telescope, HERCULES echelle spectrograph, Ground
Very Long Baseline Array, Multiple Telescopes, Multiple Instruments, Ground
W. M. Keck Observatory, 10 m Keck I Telescope, HIRES Spectrometer, Ground
W. M. Keck Observatory, 10 m Keck II Telescope, NIRC2 Camera, Ground
WASP-South, Canon 200mm f/1.8L, iKon-L CCD Camera, Ground
Wide-field Infrared Survey Explorer (WISE) Satellite Mission, 0.4 m Telescope, HgCdTe and Si:As 1K Infrared Detectors, Space
Winer Observatory, 0.51 m Telescope, SBIG 6303e CCD Camera, Ground
XO, Canon 200mm f/1.8L, Apogee CCD Array, Ground
Xinglong Station, 2.16 m Telescope, Coude Echelle Spectrograph, Ground
Yunnan Astronomical Observatory, 2.4 m Lijiang Station Telescope, 6K CCD Mosaic, Ground
Yunnan Astronomical Observatory, 2.4 m Lijiang Station Telescope, VersArray 1300B CCD Camera, Ground
